"","accession_name","root_weight","starch_content","height_first_branch","trial_name"
"198","VF21-0017",8.925,24.921,260.855,"2022DMF1C_dona"
"199","VF21-0023",8.811,23.683,249.089,"2022DMF1C_dona"
"200","VF21-0028",11.089,23.949,183.852,"2022DMF1C_dona"
"201","VF21-0031",7.963,21.684,238.42,"2022DMF1C_dona"
"202","VF21-0041",6.656,26.979,191.149,"2022DMF1C_dona"
"203","VF21-0044",7.122,NA,200.859,"2022DMF1C_dona"
"204","VF21-0055",11.325,26.467,225.112,"2022DMF1C_dona"
"205","VF21-0057",9.631,24.249,208.853,"2022DMF1C_dona"
"206","VF21-0059",7.074,25.11,307.005,"2022DMF1C_dona"
"207","VF21-0069",8.072,22.17,179.178,"2022DMF1C_dona"
"208","VF21-0084",11.269,27.382,194.789,"2022DMF1C_dona"
"209","VF21-0085",10.322,20.886,275.585,"2022DMF1C_dona"
"210","VF21-0086",8.993,25.597,193.2,"2022DMF1C_dona"
"211","VF21-0096",9.417,27.016,219.231,"2022DMF1C_dona"
"212","VF21-0098",5.433,NA,216.857,"2022DMF1C_dona"
"213","VF21-0109",7.838,27.329,297.053,"2022DMF1C_dona"
"214","VF21-0120",7.724,21.966,232.894,"2022DMF1C_dona"
"215","VF21-0132",9.485,23.345,185.641,"2022DMF1C_dona"
"216","VF21-0142",9.742,25.953,231.776,"2022DMF1C_dona"
"217","VF21-0144",9.365,24.713,238.679,"2022DMF1C_dona"
"218","VF21-0146",11.484,26.755,314.258,"2022DMF1C_dona"
"219","VF21-0148",10.214,25.771,318.802,"2022DMF1C_dona"
"220","VF21-0149",9.303,24.168,219.693,"2022DMF1C_dona"
"221","VF21-0172",10.771,26.99,242.193,"2022DMF1C_dona"
"222","VF21-0173",9.132,23.906,262.812,"2022DMF1C_dona"
"223","VF21-0175",8.01,22.733,302.157,"2022DMF1C_dona"
"224","VF21-0184",10.075,25.57,270.806,"2022DMF1C_dona"
"225","VF21-0185",8.271,23.135,210.416,"2022DMF1C_dona"
"226","VF21-0186",8.343,23.836,226.685,"2022DMF1C_dona"
"227","VF21-0187",7.926,20.977,220.914,"2022DMF1C_dona"
"228","VF21-0198",7.301,21.661,165.093,"2022DMF1C_dona"
"229","VF21-0200",7.142,NA,274.662,"2022DMF1C_dona"
"230","VF21-0202",9.382,26.368,170.654,"2022DMF1C_dona"
"231","VH21-0002",7.797,23.813,254.307,"2022DMF1C_dona"
"232","VH21-0016",10.626,26.564,270.066,"2022DMF1C_dona"
"233","VH21-0019",9.133,23.674,226.765,"2022DMF1C_dona"
"234","VH21-0021",7.869,18.126,144.781,"2022DMF1C_dona"
"235","VH21-0025",6.898,NA,316.751,"2022DMF1C_dona"
"236","VH21-0041",12.418,NA,178.72,"2022DMF1C_dona"
"237","VH21-0048",11.925,29.495,201.774,"2022DMF1C_dona"
"238","VH21-0054",9.534,22.865,174.944,"2022DMF1C_dona"
"239","VH21-0056",5.879,NA,220.785,"2022DMF1C_dona"
"240","VH21-0057",10.228,23.336,174.428,"2022DMF1C_dona"
"241","VH21-0059",6.914,NA,276.738,"2022DMF1C_dona"
"242","VH21-0061",12.872,25.55,315.441,"2022DMF1C_dona"
"243","VH21-0063",10.219,24.521,157.475,"2022DMF1C_dona"
"244","VH21-0065",9.966,25.262,173.582,"2022DMF1C_dona"
"245","VH21-0066",7.918,23.642,169.761,"2022DMF1C_dona"
"246","VH21-0072",11.893,26.421,178.24,"2022DMF1C_dona"
"247","VH21-0074",9.087,23.421,251.738,"2022DMF1C_dona"
"248","VH21-0079",9.203,25.479,199.049,"2022DMF1C_dona"
"249","VH21-0080",8.757,25.024,170.618,"2022DMF1C_dona"
"250","VH21-0087",9.679,NA,145.51,"2022DMF1C_dona"
"251","VH21-0090",12.151,21.139,137.027,"2022DMF1C_dona"
"252","VH21-0092",6.357,NA,143.752,"2022DMF1C_dona"
"253","VH21-0093",8.325,24.02,302.227,"2022DMF1C_dona"
"254","VH21-0095",11.24,24.887,184.45,"2022DMF1C_dona"
"255","VH21-0097",13.038,26.481,163.003,"2022DMF1C_dona"
"256","VH21-0098",7.547,NA,150.073,"2022DMF1C_dona"
"257","VH21-0099",9.016,25.539,232.159,"2022DMF1C_dona"
"258","VH21-0100",7.158,NA,240.344,"2022DMF1C_dona"
"259","VH21-0101",8.645,26.136,177.875,"2022DMF1C_dona"
"260","VH21-0102",7.75,16.546,178.589,"2022DMF1C_dona"
"261","VH21-0109",6.52,NA,170.466,"2022DMF1C_dona"
"262","VH21-0110",9.472,24.985,221.362,"2022DMF1C_dona"
"263","VH21-0113",7.983,NA,236.379,"2022DMF1C_dona"
"264","VH21-0114",12.279,27.22,212.994,"2022DMF1C_dona"
"265","VH21-0136",6.665,NA,214.503,"2022DMF1C_dona"
"266","VH21-0172",11.133,21.25,202.716,"2022DMF1C_dona"
"267","VH21-0176",7.474,NA,198.243,"2022DMF1C_dona"
"268","VH21-0200",9.062,20.189,163.073,"2022DMF1C_dona"
"269","VH21-0201",11.442,24.403,206.529,"2022DMF1C_dona"
"270","VH21-0204",9.455,25.464,230.152,"2022DMF1C_dona"
"271","VH21-0286",11.722,23.51,132.754,"2022DMF1C_dona"
"272","VH21-0371",8.338,25.435,288.595,"2022DMF1C_dona"
"273","VH21-0375",7.802,18.799,166.57,"2022DMF1C_dona"
"274","VH21-0402",11.751,26.477,194.803,"2022DMF1C_dona"
"275","VH21-0420",8.566,26.346,342.635,"2022DMF1C_dona"
"276","VH21-0421",10.441,28.985,263.524,"2022DMF1C_dona"
"277","VH21-0426",9.901,28.458,189.628,"2022DMF1C_dona"
"278","VH21-0432",10.587,27.836,177.505,"2022DMF1C_dona"
"279","VH21-0439",9.049,24.497,312.736,"2022DMF1C_dona"
